date,queries_per_day,rows_returned_mean,rows_returned_max,rows_returned_std,execution_time_sec_mean,execution_time_sec_max,join_count_mean,join_count_max,where_count_mean,where_count_max,query_complexity_mean,sensitivity_score_mean,is_pii_table_mean,is_business_hours_mean,is_late_night_mean,is_weekend_mean,qtype_SELECT_sum,qtype_INSERT_sum,qtype_UPDATE_sum,qtype_DELETE_sum,qtype_JOIN_sum,is_large_query_sum,rows_per_second_mean,admin
2024-01-11,32,499.46875,981,299.2708326081912,1.0390625,1.977,0.15625,1,1.6875,2,2.0,3.34375,0.65625,1.0,0.0,0.0,26,0,1,0,5,0,477.3310840181008,admin_alice
2024-01-12,25,612.64,988,260.7318034558372,0.98568,1.426,0.08,1,1.56,2,1.72,3.32,0.64,1.0,0.0,0.0,20,2,0,1,2,0,613.4844921695491,admin_alice
2024-01-13,6,352.6666666666667,853,291.5521680020004,0.8318333333333333,1.461,0.0,0,1.3333333333333333,2,1.3333333333333333,3.6666666666666665,0.8333333333333334,1.0,0.0,1.0,6,0,0,0,0,0,391.2805342074893,admin_alice
2024-01-14,7,459.0,808,218.6656504041425,0.8222857142857143,1.455,0.14285714285714285,1,1.2857142857142858,2,1.5714285714285714,3.142857142857143,0.5714285714285714,1.0,0.0,1.0,6,0,0,0,1,0,650.8645289353327,admin_alice
2024-01-15,20,584.75,996,298.2557847852992,1.0463,2.037,0.15,1,1.5,2,1.8,3.45,0.7,1.0,0.0,0.0,16,0,0,1,3,0,561.8997093961866,admin_alice
2024-01-16,18,466.22222222222223,991,295.37464855084625,0.9009444444444443,1.369,0.05555555555555555,1,1.3888888888888888,2,1.5,3.4444444444444446,0.6666666666666666,1.0,0.0,0.0,17,0,0,0,1,0,494.5500561547754,admin_alice
2024-01-17,33,539.5454545454545,961,290.9960363678828,0.9066666666666667,2.201,0.06060606060606061,1,1.4242424242424243,2,1.5454545454545454,3.5757575757575757,0.7878787878787878,1.0,0.0,0.0,29,1,0,1,2,0,613.595015367634,admin_alice
2024-01-18,29,547.8620689655172,986,303.55391662036993,0.9473448275862069,1.738,0.10344827586206896,1,1.4137931034482758,2,1.6206896551724137,3.2413793103448274,0.6206896551724138,1.0,0.0,0.0,26,0,0,0,3,0,570.7137962975793,admin_alice
2024-01-19,30,487.73333333333335,994,266.65112598394506,1.0252666666666665,2.334,0.13333333333333333,1,1.4333333333333333,2,1.7,3.5,0.7333333333333333,1.0,0.0,0.0,25,1,0,0,4,0,534.3170608212714,admin_alice
2024-01-20,3,672.3333333333334,995,298.51353961476076,1.103,1.429,0.3333333333333333,1,1.3333333333333333,2,2.0,2.6666666666666665,0.3333333333333333,1.0,0.0,1.0,2,0,0,0,1,0,660.85708085273,admin_alice
2024-01-21,5,474.6,835,282.09803260568833,1.0048,1.363,0.0,0,1.8,2,1.8,3.4,0.8,1.0,0.0,1.0,5,0,0,0,0,0,447.51518735634045,admin_alice
2024-01-22,19,418.63157894736844,973,298.8491277711726,0.9077368421052632,1.858,0.05263157894736842,1,1.6842105263157894,2,1.7894736842105263,3.1578947368421053,0.5789473684210527,1.0,0.0,0.0,18,0,0,0,1,0,485.59293066093386,admin_alice
2024-01-23,26,551.3076923076923,976,304.0899563261857,1.1246153846153846,2.218,0.11538461538461539,1,1.7692307692307692,2,2.0,3.1923076923076925,0.5384615384615384,1.0,0.0,0.0,22,0,1,0,3,0,507.8199305154434,admin_alice
2024-01-24,26,529.3076923076923,964,280.7580836564845,0.9409230769230769,1.923,0.07692307692307693,1,1.5384615384615385,2,1.6923076923076923,3.1923076923076925,0.6153846153846154,1.0,0.0,0.0,24,0,0,0,2,0,570.270746989515,admin_alice
2024-01-25,18,607.5555555555555,953,274.4513719323617,0.8827222222222223,2.075,0.1111111111111111,1,1.2777777777777777,2,1.5,3.5,0.7222222222222222,1.0,0.0,0.0,14,0,0,2,2,0,733.9218787291451,admin_alice
2024-01-26,33,590.7575757575758,999,277.7223242628136,1.0656666666666668,1.893,0.09090909090909091,1,1.5454545454545454,2,1.7272727272727273,3.3333333333333335,0.6363636363636364,1.0,0.0,0.0,26,0,4,0,3,0,593.3841114845467,admin_alice
2024-01-27,3,508.3333333333333,940,379.70295407506813,1.0999999999999999,1.537,0.0,0,1.3333333333333333,2,1.3333333333333333,3.3333333333333335,0.6666666666666666,1.0,0.0,1.0,3,0,0,0,0,0,432.24538962349385,admin_alice
2024-01-28,4,599.25,895,336.37516257892764,1.00525,1.734,0.0,0,1.5,2,1.5,3.5,0.75,1.0,0.0,1.0,3,0,0,1,0,0,609.2510387666755,admin_alice
